prenom,genre,count
ABIMAEL,M,30
ABINA,F,20
ABINASH,M,57
ABINAYA,F,134
ABINESH,M,25
ABIOLA,M,23
ABIR,MF,550
ABIRA,F,71
ABIRAM,M,24
ABIRAMI,F,51
ABIRAMY,F,30
ABIRE,F,55
ABISAN,M,30
ABISHA,F,104
ABISHAN,M,78
ABISHEK,M,27
ABLA,F,419
ABLAYE,M,98
ABNER,M,26
ABOU,MF,925
ABOU-BAKAR,M,60
ABOU-BAKER,M,26
ABOU-BAKR,M,184
ABOU-SOFIANE,M,27
ABOUBACAR,M,1924
ABOUBACAR-SIDIKI,M,25
ABOUBACARI,M,26
ABOUBACARY,M,40
ABOUBACRI,M,21
ABOUBACRY,M,45
ABOUBAKA,M,37
ABOUBAKAR,M,1247
ABOUBAKARI,M,85
ABOUBAKARY,M,165
ABOUBAKER,M,149
ABOUBAKR,M,319
ABOUBAKRE,M,24
ABOUBAKRI,M,44
ABOUBAKRY,M,89
ABOUDOU,M,79
ABOUDOULAYE,M,41
ABOUDRAMANE,M,35
ABOULAY,M,22
ABOULAYE,M,190
ABRAHAM,M,2612
ABRAHIM,M,44
ABRAM,M,62
ABRAR,MF,144
ABRIEL,M,255
ABRIL,F,53
ABSA,F,67
ABSATOU,F,50
ABU,M,48
ABU-BAKR,M,29
ABUBAKAR,M,54
ABY,F,841
ABY-GAELLE,F,29
ABY-GAËLLE,F,21
ABYGAEL,F,368
ABYGAELLE,F,841
ABYGAIL,F,185
ABYGAËL,F,358
ABYGAËLLE,F,689
ABYGAÏL,F,95
ABÈLE,F,22
ABÉLIA,F,43
ACACIA,F,118
ACACIO,M,72
ACE,M,40
ACELIA,F,22
ACELYA,F,394
ACENE,M,27
ACHATA,F,22
ACHER,M,67
ACHERAF,M,28
ACHIDA,F,20
ACHIL,M,87
ACHILE,M,230
ACHILLE,MF,16353
ACHILLES,M,116
ACHILLIA,F,29
ACHIM,M,62
ACHLEY,F,32
ACHMI,M,22
ACHOT,M,31
ACHOUAK,F,49
ACHOUR,M,343
ACHOURA,F,29
ACHRAF,MF,2068
ACHRAFE,M,47
ACHREF,M,50
ACHTA,F,24
ACHWAK,F,33
ACHYL,M,21
ACIA,F,84
ACIL,MF,226
ACILE,F,104
ACYA,F,26
ACYL,MF,76
ADA,MF,1223
ADAEL,M,22
ADAL,M,30
ADALBERT,M,453
ADALGISA,F,25
ADALIA,F,22
ADALINA,F,22
ADALIND,F,20
ADALINE,F,427
ADALYNE,F,69
ADALYNN,F,25
ADAM,MF,73249
ADAM'S,M,32
ADAM-MOHAMED,M,20
ADAMA,MF,3616
ADAME,MF,1794
ADAMM,M,36
ADAMO,M,94
ADAMS,M,266
ADAN,M,1250
ADANE,M,64
ADAO,M,110
ADAR,M,176
ADASSA,F,55
ADAYA,F,21
ADDA,MF,393
ADDAM,M,40
ADDEL,M,32
ADDIL,M,36
ADDISON,MF,149
ADDOLORATA,F,37
ADDY,M,27
ADDYSON,F,31
ADEA,F,52
ADEEL,M,35
ADEL,MF,8935
ADELA,F,681
ADELAIDA,F,32
ADELAIDE,MF,9948
ADELAIS,F,32
ADELAÏDE,F,634
ADELBERT,M,117
ADELE,F,1666
ADELEINE,F,30
