patronyme,count
BRIET,367
BRILLANT,350
BRILLET,269
BRIN,357
BRION,715
BRIOT,481
BRIQUET,484
BRISSAUD,262
BRISSET,840
BRISSON,745
BRIZARD,281
BROCARD,620
BROCHARD,1129
BROCHET,634
BROCHIER,310
BROCHOT,328
BRON,290
BRONNER,260
BROQUET,267
BROS,358
BROSSARD,1506
BROSSE,569
BROSSEAU,333
BROSSET,395
BROSSIER,486
BROUARD,750
BROUILLARD,301
BROUILLET,349
BROUSSARD,275
BROUSSE,1105
BROUTIN,419
BROWN,509
BRU,834
BRUEL,589
BRULE,755
BRUN,6427
BRUNEAU,2147
BRUNEL,2338
BRUNET,5873
BRUNETEAU,283
BRUNIER,285
BRUNNER,390
BRUNO,1385
BRUNOT,262
BRUYERE,904
BRY,265
BUCHER,414
BUCHET,402
BUENO,248
BUET,258
BUFFARD,396
BUFFET,773
BUI,423
BUISINE,259
BUISSON,2679
BULTEAU,257
BULUT,288
BUNEL,496
BUQUET,486
BURBAN,311
BURDIN,282
BUREAU,1414
BUREL,1014
BURET,402
BURG,311
BURGAUD,471
BURGER,543
BURLET,260
BURLOT,338
BURON,375
BURTIN,407
BURY,358
BUSNEL,272
BUSQUET,269
BUSSIERE,451
BUSSON,730
BUSSY,280
BUTIN,282
CABANES,349
CABARET,509
CABON,335
CABOT,443
CABRERA,430
CABROL,805
CADET,1289
CADIOU,613
CADORET,519
CADOT,483
CADOUX,252
CAHUZAC,258
CAILLARD,368
CAILLAT,420
CAILLAUD,1195
CAILLE,924
CAILLEAU,461
CAILLET,1049
CAILLEUX,271
CAILLON,430
CAILLOT,647
CAIRE,293
CALAIS,285
CALAS,412
CALLENS,265
CALLEWAERT,251
CALMELS,453
CALMETTES,296
CALVET,1112
CALVEZ,689
CALVO,435
CAMARA,1437
CAMBIER,336
CAMBON,694
CAMILLERI,349
CAMPAGNE,415
CAMPANA,367
CAMPION,450
CAMPO,358
CAMPOS,639
CAMPS,322
CAMUS,2372
CANAL,485
CANARD,263
CANET,531
CANIVET,339
CANO,975
CANONNE,292
CANOVAS,318
CANTIN,614
CANTON,332
CANU,594
CAO,249
CAPARROS,273
CAPDEVIELLE,317
CAPDEVILLE,524
CAPEL,351
CAPELLE,976
CAPELLI,266
CAPELLO,405
CAPITAINE,439
CAPLOT,296
CAPRON,748
CARADEC,354
CARAYON,415
CARBONNEL,419
CARBONNIER,295
CARDIN,314
CARDINAL,249
CARDON,1109
CARDONA,378
CARDOSO,620
CARDOT,412
CAREL,325
CARETTE,436
CARIOU,855
CARLE,578
CARLES,732
CARLIER,2246
CARLIN,252
CARLOTTI,285
CARMONA,505
CARNEIRO,266
CARO,659
CAROFF,298
CARON,4298
CARPENTIER,3507
CARRARA,421
CARRASCO,392
CARRE,3509
CARREAU,356
CARRERE,1412
CARRET,364
CARRIE,512
CARRIER,911
CARRIERE,1218
CARRION,249
CARRON,582
CARTERON,249
CARTIER,1540
CARTON,884
CARTRON,252
CARUSO,392
CARVALHO,736
CASADO,275
CASAGRANDE,358
CASANOVA,1131
CASSAGNE,620
CASSAN,612
CASSARD,286
CASSE,460
CASSIN,403
CASSOU,294
CASTAGNE,468
CASTAGNET,314
CASTAING,682
CASTAN,475
CASTANET,286
CASTANIER,308
CASTEL,1748
CASTELAIN,319
CASTELLANI,334
CASTELLI,409
CASTERA,341
CASTETS,448
CASTEX,516
CASTILLO,520
CASTILLON,321
CASTRO,760
CATALA,419
CATEL,253
CATHALA,650
CATHERINE,661
CATTEAU,437
CAU,297
CAUBET,400
CAUCHOIS,387
CAUCHY,296
CAUDRON,566
CAULIER,263
CAUMONT,343
CAUQUIL,438
CAUSSE,908
CAUVIN,664
CAUX,361
CAVAILLE,361
CAVAILLES,286
CAVALIER,508
CAVE,311
CAVELIER,282
CAYLA,414
CAYRE,275
CAYROL,268
CAZAL,284
CAZALS,333
CAZAUBON,259
CAZAUX,749
CAZE,261
CAZEAUX,337
CAZENAVE,1024
CAZENEUVE,322
CAZES,647
CAZIN,314
CAZORLA,257
CECCALDI,360
CELERIER,292
CELIK,608
CELLE,309
CELLIER,929
CERDAN,349
CERF,289
CERISIER,276
CERUTTI,293
CESAR,324
CESARI,412
CESBRON,433
CETIN,263
CHABANE,418
CHABANNE,301
CHABAUD,826
CHABBERT,353
CHABERT,1411
CHABOT,1009
CHABRIER,546
CHABROL,384
CHAGNON,274
CHAIB,306
CHAIGNE,308
CHAIGNEAU,553
CHAILLOT,254
CHAILLOU,767
CHAIX,879
CHAIZE,369
CHALARD,249
CHALON,321
CHALUMEAU,298
CHAMBARD,305
CHAMBON,1812
CHAMPAGNE,592
CHAMPENOIS,428
CHAMPION,1424
CHAN,429
CHANAL,423
CHANEL,392
CHANET,250
CHANSON,300
CHANU,283
CHANUT,590
CHAPEAU,398
CHAPEL,428
CHAPELLE,885
CHAPERON,266
CHAPON,698
CHAPPUIS,279
CHAPRON,596
CHAPUIS,1828
CHAPUS,313
CHAPUT,655
CHARBIT,349
CHARBONNEAU,408
CHARBONNEL,737
CHARBONNIER,1779
CHARDIN,272
CHARDON,987
CHAREYRE,303
CHARLES,3730
CHARLET,958
CHARLIER,711
CHARLOT,1100
CHARNAY,251
CHARON,410
CHARPENTIER,3451
CHARRE,315
CHARRIER,2351
CHARRIERE,550
CHARRON,1066
CHARTIER,1989
CHARTON,726
CHARTRAIN,284
CHARVET,642
CHASSAGNE,731
CHASSAING,510
CHASSANG,254
CHASSARD,290
CHASTANG,256
CHASTEL,379
CHATAIGNER,313
CHATAIN,443
CHATARD,302
CHATEAU,1044
CHATEL,805
CHATELAIN,1484
CHATELET,413
CHATELIER,289
CHATELIN,263
CHATELLIER,315
CHATENET,261
CHATILLON,374
CHAU,249
CHAUDET,305
CHAUDRON,341
CHAULET,292
CHAUMEIL,261
CHAUMET,325
CHAUMETTE,280
CHAUMONT,807
CHAUSSE,344
CHAUSSON,260
CHAUTARD,267
CHAUVEAU,1944
CHAUVEL,782
CHAUVET,2424
CHAUVIERE,341
CHAUVIN,2952
CHAVANNE,334
CHAVE,291
CHAZAL,514
CHAZOT,271
CHEKROUN,276
CHEMIN,924
CHEMLA,328
CHEN,1202
CHENE,715
CHENEAU,260
CHENET,279
CHENG,269
CHENU,647
CHEREAU,501
CHEREL,454
CHERGUI,294
CHERIF,560
CHERIFI,354
CHERON,901
CHERRIER,451
CHERY,412
CHESNAIS,258
CHESNEAU,670
CHESNEL,415
CHEVAL,711
CHEVALIER,7236
CHEVALLIER,2963
CHEVET,258
CHEVILLARD,468
CHEVILLON,252
CHEVREAU,333
CHEVREL,254
CHEVRIER,1249
CHICHE,545
CHICHEPORTICHE,284
CHIRON,978
CHOLET,480
CHOLLET,1181
CHOLLEY,248
CHOPARD,266
CHOPIN,968
CHOQUET,833
CHOTARD,441
CHOUKROUN,323
CHOURAQUI,285
CHOUTEAU,302
CHRETIEN,1676
CHRIST,296
CHRISTIN,321
CHRISTMANN,274
CHRISTOPHE,924
CHUPIN,460
CIRPACI,279
CISSE,1120
CLAEYS,263
CLAIN,807
CLAIR,718
CLAIRE,330
CLAIRET,310
CLAISSE,382
CLARET,418
CLARY,286
CLAUDE,1420
CLAUDEL,810
CLAUDON,271
CLAUSS,348
CLAUSSE,277
CLAUZEL,344
CLAVE,352
CLAVEAU,313
CLAVEL,1200
CLAVERIE,942
CLAVIER,810
CLEMENCEAU,391
CLEMENT,7025
CLEMENTE,394
CLERC,2229
CLERET,309
CLERGUE,270
CLERMONT,397
CLOAREC,637
